galname,logd25,PA,INC,vmaxg,maskat,method,version,rec_side,flag
CGCG163-062,0.83,0.0,12.0,13.9,1e-2,Havfield,1,+1,1
CGCG536-030,0.87,30.5,51.3,115.1,1e-2,Havfield,1,0,0
IC0674,1.14,121.0,85.3,241.9,1e-2,Havfield,1,+1,3
IC1683,1.12,173.0,69.0,182.2,1e-2,Havfield,1,0,0
IC3598,1.15,139.1,88.0,225.8,1e-2,Havfield,1,-1,3
NGC0001,1.20,112.4,48.8,146.1,1e-2,Havfield,1,-1,3
NGC0169,1.18,92.5,69.8,277.8,1e-2,Havfield,1,+1,3
NGC0495,1.04,168.8,49.2,277.8,1e-5,rotcur,1,-1,3
NGC0776,1.13,0.0,18.3,58.2,1e-2,Havfield,1,+1,2
NGC0932,1.30,0.0,24.4,87.5,1e-3,Havfield,1,+1,3
NGC2449,1.16,135.5,73.7,101.1,1e-2,Havfield,1,-1,3
NGC2540,1.09,123.3,60.4,153.2,1e-2,Havfield,1,-1,3
NGC2596,0.44,63.9,74.2,203.2,1e-2,Havfield,1,-1,2
NGC2691,1.10,166.0,47.9,182.4,1e-2,Havfield,1,+1,1
NGC3057,1.16,8.0,58.3,55.1,1e-2,flat,1,0,0
NGC3106,0.95,123.7,88.0,102.3,1e-2,Havfield,1,-1,3
NGC3395,1.20,40.5,57.8,86.1,1e-1,rotcur,1,+1,1
NGC3614,1.40,87.7,47.0,131.5,1e-2,Havfield,1,-1,3
NGC3619,1.59,25.0,42.4,165.1,1e-2,rotcur,1,-1,2
NGC4003,1.02,159.7,65.2,110.6,1e-2,Havfield,1,+1,3
NGC5216,1.23,54.0,83.9,150.1,1e-2,rotcur,1,+1,1
NGC5267,1.19,53.3,75.1,69.8,1e-2,Havfield,1,-1,3
NGC5376,1.17,66.3,54.8,135.0,1e-2,Havfield,1,-1,3
NGC5630,1.17,95.7,88.0,106.4,1e-2,Havfield,1,+1,1
NGC5631,1.29,0.0,0.0,165.4,1e-2,flat,1,0,0
NGC5720,1.28,132.0,52.0,194.8,1e-2,Havfield,1,+1,3
NGC5888,1.12,156.7,54.6,194.8,1e-2,Havfield,1,+1,3
NGC5908,1.53,153.4,65.3,314.6,1e-2,Havfield,1,+1,2
NGC5954,1.01,19.2,63.6,111.4,1e-2,flat,1,0,0
NGC5987,1.58,45.0,76.4,275.2,1e-2,rotcur,1,-1,3
NGC6132,1.11,126.5,79.9,154.6,1e-2,Havfield,1,+1,2
UGC01659,1.14,35.8,69.4,196.2,1e-2,Havfield,1,-1,3
UGC02134,1.21,106.2,71.8,149.7,1e-2,Havfield,1,+1,3
UGC02222,1.12,103.0,67.6,275.2,1e-4,rotcur,1,-1,3
UGC02239,1.12,14.0,86.2,275.2,1e-2,Havfield,1,+1,2
UGC03960,1.10,46.7,72.4,275.2,1e-5,flat,1,0,0
UGC04054,1.25,173.7,88.0,105.3,1e-2,flat,1,0,0
UGC04136,1.20,141.5,88.0,296.0,1e-3,Havfield,1,-1,2
UGC04245,1.15,107.7,78.5,162.7,1e-2,Havfield,1,-1,3
UGC04258,1.00,123.1,76.2,89.3,1e-5,Havfield,1,0,0
UGC04262,1.30,151.7,40.6,187.5,5e-3,Havfield,1,-1,3
UGC04659,1.15,108.5,90.0,78.7,1e-3,flat,1,0,0
UGC04730,0.99,89.3,67.5,275.2,1e-2,Havfield,1,+1,3
UGC05326,0.97,0.0,16.9,45.2,3e-3,flat,1,0,0
UGC08004,1.04,5.6,68.7,133.9,1e-3,Havfield,1,0,0
UGC08231,1.17,74.9,74.4,96.8,1e-2,Havfield,1,-1,2
UGC08322,1.05,36.1,88.0,238.1,1e-3,Havfield,1,-1,3
UGC08733,1.29,6.3,62.2,80.9,2.5e-3,Havfield,1,0,0
UGC09598,1.21,122.1,71.2,176.7,5e-3,Havfield,1,+1,3
UGC09629,1.17,153.5,76.6,275.2,1e-3,Havfield,1,+1,2
UGC9663,1.14,0.0,41.9,47.0,3e-3,Havfield,1,0,0
UGC09777,0.97,149.6,68.2,135.5,5e-3,Havfield,1,+1,2
UGC9837,1.23,0.0,23.2,71.1,1e-2,Havfield,1,0,0
UGC10905,1.18,171.7,68.4,275.2,3e-3,Havfield,1,0,0
UGC10097,1.15,123.9,48.2,275.2,1e-3,Havfield,1,-1,3